20			0.0012  		0.0564  		27.6467 
40			0.0564  		0.1025  		15.9790 
60			0.1025  		0.0831  		10.1471 
80			0.0831  		0.0244  		5.4047  
100			0.0244  		0.0295  		4.5961  
120			0.0295  		0.0302  		3.8572  
140			0.0302  		0.0269  		3.1864  
160			0.0269  		0.0634  		3.5621  
180			0.0634  		0.0823  		3.3747  
200			0.0823  		0.1032  		3.2011  
220			0.1032  		0.0683  		2.6395  
240			0.0683  		0.0445  		2.1617  
260			0.0445  		0.0655  		2.2101  
280			0.0655  		0.0611  		2.0163  
300			0.0611  		0.0538  		1.8202  
320			0.0538  		0.0587  		1.7462  
340			0.0587  		0.0316  		1.3806  
360			0.0316  		0.0292  		1.2726  
380			0.0292  		0.0373  		1.2981  
400			0.0373  		0.0348  		1.2082  
420			0.0348  		0.0150  		0.8628  
440			0.0150  		0.0150  		0.8236  
460			0.0150  		0.0856  		1.3330  
480			0.0856  		0.0858  		1.2781  
500			0.0858  		0.0411  		1.0143  
520			0.0411  		0.0399  		0.9672  
540			0.0399  		0.0455  		0.9667  
560			0.0455  		0.0237  		0.7638  
580			0.0237  		0.0107  		0.5402  
600			0.0107  		0.0882  		1.0292  
620			0.0882  		0.1178  		1.0634  
640			0.1178  		0.0763  		0.9320  
660			0.0763  		0.1228  		1.0080  
680			0.1228  		0.1417  		1.0087  
700			0.1417  		0.1026  		0.9134  
720			0.1026  		0.0814  		0.8415  
740			0.0814  		0.0637  		0.7711  
760			0.0637  		0.0639  		0.7513  
780			0.0639  		0.0634  		0.7307  
800			0.0634  		0.0254  		0.5476  
820			0.0254  		0.0185  		0.4784  
840			0.0185  		0.0166  		0.4483  
860			0.0166  		0.0276  		0.5234  
880			0.0276  		0.0436  		0.5863  
900			0.0436  		0.0755  		0.6612  
920			0.0755  		0.0840  		0.6635  
940			0.0840  		0.0566  		0.5888  
960			0.0566  		0.0423  		0.5326  
980			0.0423  		0.0417  		0.5198  
1000			0.0417  		0.1124  		0.6524  
1020			0.1124  		0.1348  		0.6654  
1040			0.1348  		0.0574  		0.5342  
1060			0.0574  		0.0341  		0.4531  
1080			0.0341  		0.0320  		0.4362  
1100			0.0320  		0.0579  		0.5061  
1120			0.0579  		0.0320  		0.4206  
1140			0.0320  		0.0872  		0.5403  
1160			0.0872  		0.0780  		0.5171  
1180			0.0780  		0.0402  		0.4272  
1200			0.0402  		0.0145  		0.2975  
1220			0.0145  		0.0306  		0.3810  
1240			0.0306  		0.0468  		0.4242  
1260			0.0468  		0.0487  		0.4222  
1280			0.0487  		0.0292  		0.3577  
1300			0.0292  		0.0979  		0.4865  
1320			0.0979  		0.0630  		0.4311  
1340			0.0630  		0.0710  		0.4374  
1360			0.0710  		0.0970  		0.4641  
1380			0.0970  		0.1365  		0.4931  
1400			0.1365  		0.0882  		0.4411  
1420			0.0882  		0.0537  		0.3844  
1440			0.0537  		0.0694  		0.4048  
1460			0.0694  		0.0776  		0.4104  
1480			0.0776  		0.0222  		0.2828  
1500			0.0222  		0.0179  		0.2580  
1520			0.0179  		0.0136  		0.2291  
1540			0.0136  		0.0436  		0.3349  
